time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342357211234,    13656,      268,    1197,     576,         0,            1,map8x8-069
1342357211488,    24419,      268,    1491,    1692,         0,            1,map8x8-069
1342357211706,    33946,      270,    1756,    2768,         0,            1,map8x8-069
1342357211933,    41348,      270,    1826,    3626,         0,            1,map8x8-069
1342357211964,     1405,       61,     117,     532,         0,            1,map8x8-070
1342357212238,    10000,       61,     181,    4040,         0,            1,map8x8-070
1342357212479,    18425,       61,     164,    7408,         0,            1,map8x8-070
1342357212738,    26362,       61,     221,   10107,         0,            1,map8x8-070
1342357212963,    33047,       61,     209,   11951,         0,            1,map8x8-070
1342357212966,        4,        0,       0,       3,         0,            1,map8x8-071
1342357213028,     2754,        0,     461,     -23,         1,            0,map8x8-072
1342357213242,    16257,        0,    1951,    -659,         1,            0,map8x8-072
1342357213476,    32803,        0,    3845,   -2188,         1,            0,map8x8-072
1342357213727,    42720,        0,    4874,   -3159,         1,            0,map8x8-072
1342357213955,    56649,        0,    5809,   -4083,         1,            0,map8x8-072
1342357214155,    58986,        0,    6003,   -4276,         1,            0,map8x8-072
1342357214191,     2775,       64,     110,     593,         0,            1,map8x8-073
1342357214405,    14666,       64,      62,    2937,         0,            1,map8x8-073
1342357214766,    25303,       64,      66,    5168,         0,            1,map8x8-073
1342357215012,    26463,       64,       0,    5682,         0,            1,map8x8-073
1342357215018,        4,        0,       0,       2,         0,            0,map8x8-074
1342357215078,     2486,       18,     150,     234,         0,            0,map8x8-075
1342357215351,     8505,       18,     324,     710,         0,            0,map8x8-075
1342357215656,    17566,       18,     508,    1544,         0,            0,map8x8-075
1342357216046,    23676,       18,     554,    1947,         0,            0,map8x8-075
1342357216288,    23676,       18,     554,    1947,         0,            0,map8x8-075
1342357216357,     2038,      279,     339,     465,         0,            1,map8x8-076
1342357216650,     9413,      279,     897,    1862,         0,            1,map8x8-076
1342357216899,    14668,      279,    1213,    2844,         0,            1,map8x8-076
1342357217376,    23171,      279,    1617,    4419,         0,            1,map8x8-076
1342357217391,      907,       66,       0,     277,         0,            1,map8x8-077
1342357217460,     3685,      127,     273,    1008,         0,            1,map8x8-078
1342357217716,     9564,      127,     510,    2366,         0,            1,map8x8-078
1342357217990,    12561,      127,     571,    3212,         0,            1,map8x8-078
1342357218271,    25652,      127,     729,    6789,         0,            1,map8x8-078
1342357218474,    30039,      131,     763,    8047,         0,            1,map8x8-078
1342357218526,        0,        0,       0,       0,         1,            1,map8x8-079
1342357218728,    10268,       62,      80,    2535,         0,            1,map8x8-079
1342357218943,    21785,       62,      75,    5261,         0,            1,map8x8-079
1342357219190,    29852,       62,     116,    7202,         0,            1,map8x8-079
1342357219449,    41436,       62,      45,    9555,         0,            1,map8x8-079
1342357219659,    41981,       62,       0,    9722,         0,            1,map8x8-079
1342357219769,     7764,      217,      50,    2834,         0,            0,map8x8-080
1342357220002,    10253,      217,       0,    3673,         0,            0,map8x8-080
1342357220049,     2306,      182,     105,     400,         0,            1,map8x8-081
1342357220291,     9436,      182,     204,    1620,         0,            1,map8x8-081
1342357220527,    16686,      186,     320,    1622,         0,            1,map8x8-081
1342357220780,    23679,      188,     723,    2716,         0,            1,map8x8-081
1342357221047,    29532,      192,    1274,    3661,         0,            1,map8x8-081
1342357221092,        0,        0,       0,       0,         1,            0,map8x8-082
1342357221358,    13332,       19,     174,    1263,         0,            0,map8x8-082
1342357221998,    23745,       19,     211,    2173,         0,            0,map8x8-082
1342357222219,    30206,       19,     357,    2314,         0,            0,map8x8-082
1342357222400,     4081,      215,     140,    1586,         0,            1,map8x8-083
1342357222781,    13573,      215,     125,    5173,         0,            1,map8x8-083
1342357223022,    22685,      215,     113,    8358,         0,            1,map8x8-083
1342357223243,    31261,      215,       0,   11756,         0,            1,map8x8-083
1342357223263,      383,        0,       0,      55,         2,            0,map8x8-084
1342357223266,        5,        0,       0,       4,         0,            1,map8x8-085
1342357223302,     2310,      280,     297,     809,         0,            1,map8x8-086
1342357223556,    12643,      280,    1259,    3264,         0,            1,map8x8-086
1342357223788,    31605,      280,    2207,    7816,         0,            1,map8x8-086
1342357224033,    47131,      280,    2567,   11518,         0,            1,map8x8-086
1342357224271,    62145,      280,    3204,   14709,         0,            1,map8x8-086
1342357224275,        0,        0,       0,       0,         2,            1,map8x8-087
1342357224540,    16267,      137,     379,    5700,         0,            1,map8x8-087
1342357224834,    24215,      137,     596,    8507,         0,            1,map8x8-087
1342357225093,    37282,      137,     737,   12659,         0,            1,map8x8-087
1342357225316,    46551,      137,     755,   15733,         0,            1,map8x8-087
1342357225489,        0,        0,       0,       0,         2,            1,map8x8-088
1342357225700,    16347,       44,     207,    1356,         0,            1,map8x8-088
1342357226206,    29351,       44,     328,    1908,         0,            1,map8x8-088
1342357226561,    39352,       44,     351,    2312,         0,            1,map8x8-088
1342357226606,     3443,      140,     114,    1338,         0,            1,map8x8-089
1342357226890,     7423,      140,     150,    2735,         0,            1,map8x8-089
1342357227104,    17799,      140,       0,    6272,         0,            1,map8x8-089
1342357227129,     1178,       68,       0,     471,         0,            1,map8x8-090
1342357227157,     1392,       64,      53,     459,         0,            1,map8x8-091
1342357227406,    13273,       64,      50,    3724,         0,            1,map8x8-091
1342357227606,    15922,       64,       0,    4394,         0,            1,map8x8-091
1342357227697,     6954,      136,     240,    1868,         0,            1,map8x8-092
1342357227957,    18149,      136,     476,    3793,         0,            1,map8x8-092
1342357228252,    29295,      136,     432,    4949,         0,            1,map8x8-092
1342357228488,    36577,      136,     472,    5618,         0,            1,map8x8-092
1342357228846,    43084,      136,     336,    6247,         0,            1,map8x8-092
1342357228891,     2563,       61,     141,     919,         0,            1,map8x8-093
1342357229144,    12163,       61,     210,    3427,         0,            1,map8x8-093
1342357229458,    22530,       61,     271,    7036,         0,            1,map8x8-093
1342357229909,    30270,       61,     301,    9508,         0,            1,map8x8-093
1342357229913,        6,        0,       0,       5,         0,            1,map8x8-094
1342357230148,        0,        0,       0,       0,         0,            1,map8x8-095
1342357230496,        4,        0,       0,       3,         0,            1,map8x8-095
1342357230535,     3335,       67,      64,    1371,         0,            1,map8x8-096
1342357230879,     5777,       67,       0,    2435,         0,            1,map8x8-096
1342357230925,     1831,       63,      33,     350,         0,            1,map8x8-097
1342357231150,     5446,       65,       0,    1104,         0,            1,map8x8-097
1342357231193,     2106,       64,      93,     852,         0,            1,map8x8-098
1342357231451,     7582,       64,      90,    3095,         0,            1,map8x8-098
1342357231739,    16671,       64,     100,    6300,         0,            1,map8x8-098
1342357232000,    23097,       64,     106,    8479,         0,            1,map8x8-098
1342357232228,    28739,       64,     143,   10560,         0,            1,map8x8-098
1342357232274,     3185,       66,      30,    1640,         0,            1,map8x8-099
1342357232992,    10314,       66,      70,    4933,         0,            1,map8x8-099
1342357233358,    12542,       66,       0,    5954,         0,            1,map8x8-099

